10345,Domestic Manners of the Americans,Fanny Trollope,english
10347,Free from School,Rahul Alvares,english
10357,Life Of Johnson, Volume 4 (of 6),Boswell,english
10350,The Works of Samuel Johnson, Vol. 6,Samuel Johnson,english
10355,Travels in Morocco, Vol. 1.,James Richardson,english
10340,Dab Kinzer,William O. Stoddard,english
10343,The Works of Charles and Mary Lamb, Volume 2,Charles Lamb,english
10358,The Boss of Little Arcady,Harry Leon Wilson,english
10362,Sketches of the East Africa Campaign,Robert Valentine Dolbey,english
10361,The Creative Process in the Individual,Thomas Troward,english
10360,Kitty's Class Day And Other Stories,Louisa M. Alcott,english
10366,Freedom's Battle,Mahatma Gandhi,english
10367,Poems,Sir John Carr,english
10368,The Vizier of the Two-Horned Alexander,Frank R. Stockton,english
10365,Precaution,James Fenimore Cooper,english
10372,Bunch Grass,Horace Annesley Vachell,english
10359,Aunt Jane's Nieces at Millville,Edith Van Dyne,english
10371,The Cinema Murder,E. Phillips Oppenheim,english
10370,Sustained honor,John R. Musick,,english
10374,The Ramblin' Kid,Earl Wayland Bowman,english
10376,American Indian stories,Zitkala-Sa,english
10346,C'Etait ainsi...,Cyriel Buysse,french
10377,The Evil Guest,J. Sheridan Le Fanu,english
10378,Autobiography,John Stuart Mill,english
10379,At Love's Cost,Charles Garvice,english
10381,The History of a Crime,Victor Hugo,english
10373,The Middle Temple Murder,J.S. Fletcher,english
10380,Bible Stories and Religious Classics,Philip P. Wells,english
10386,Thoughts On The Necessity Of Improving The Condition Of The Slaves,Thomas Clarkson,english
10375,England's Antiphon,George MacDonald,english
10369,Memoir and Diary of John Yeardley, Minister of the Gospel,John Yeardley,english
10364,Yeast: A Problem,Charles Kingsley,english
10352,The Works of Samuel Johnson, Vol. 11.,Samuel Johnson,english
10389,Northern Trails, Book I.,William J. Long,english
10390,The Edinburgh Lectures on Mental Science,Thomas Troward,english
10388,Old English Plays, Vol. I,Various,english
10363,The Bravo,J. Fenimore Cooper,english
10396,Andy the Acrobat,Peter T. Harkness,english
10394,Stolen Treasure,Howard Pyle,english
10392,The Reminiscences Of Sir Henry Hawkins (Baron Brampton),Henry Hawkins Brampton,english
10397,Affairs of State,Burton E. Stevenson,english
10210,Wolves of the Sea,Randall Parrish,english
10398,The American Child,Elizabeth McCracken,english
10401,Personal Memoir Of Daniel Drayton,Daniel Drayton,english
10399,The Story of Louis Riel: The Rebel Chief,Joseph Edmond Collins,english
10404,Man Size,William MacLeod Raine,english
10419,The Forest Monster of Oz,Bob Evans,english
10410,The Powers and Maxine,Charles Norris Williamson,english
10384,Le Pays de l'or,Henri Conscience,french
10402,A Man and His Money,Frederic Stewart Isham,english
10418,The Money Moon,Jeffery Farnol,english
1043,The Story of Evolution,Joseph McCabe,english
1047,The New Machiavelli,Herbert George Wells,english
10383,The Maternal Management of Children, in Health and Disease.,Thomas Bull, M.D.,english
1048,The Ruling Passion,Henry van Dyke,english
10403,Twixt France and Spain,E. Ernest Bilbrough,english
10417,Love, Life & Work,Elbert Hubbard,english
1046,God The Invisible King,Herbert George Wells,english
10387,The Real America in Romance, Volume 6; A Century Too Soon (A Story,John R. Musick,english
10391,The Wolf's Long Howl,Stanley Waterloo,english
1049,Vanished Arizona,Martha Summerhayes,english
10385,Histoire de la Revolution francaise, III,Adolphe Thiers,french
10429,Miss Lulu Bett,Zona Gale,english
10421,The Life of Lord Byron,John Galt,english
10420,The Principles of Success in Literature,George Henry Lewes,english
10409,The Crisis of the Naval War,John Rushworth Jellicoe,english
10422,Caesar Dies,Talbot Mundy,english
10430,Trips to the Moon,Lucian,english
10431,Thirty Years a Slave,Louis Hughes,english
10432,Aunt Jane's Nieces Out West,Edith Van Dyne,english
10427,Scientific Essays and Lectures,Charles Kingsley,english
10437,Pulpit and Press (6th Edition),Mary Baker Eddy,english
10436,Erick and Sally,Johanna Spyri,english
10433,A Flock of Girls and Boys,Nora Perry,english
10434,Wyandotte,James Fenimore Cooper,english
10438,Up the Hill and Over,Isabel Ecclestone Mackay,english
10440,Tutt and Mr. Tutt,Arthur Train,english
10442,La comedie de la mort,Theophile Gautier,french
10444,The Peace Negotiations,Robert Lansing,english
10447,October Vagabonds,Richard Le Gallienne,english
10446,The Green Flag,Arthur Conan Doyle,english
10441,The Green Mouse,Robert W. Chambers,english
10435,The Atlantic Monthly, Volume 2, Issue 12, October, 1858,Various,english
10425,Torquato Tasso,Johann Wolfgang von Goethe,german
10443,The Rayner-Slade Amalgamation,J. S. Fletcher,english
10426,Die natuerliche Tochter,Johann Wolfgang von Goethe,german
10453,A Practical Physiology,Albert F. Blaisdell,english
10451,Life Of Johnson, Volume 5,Boswell,english
10445,American Big Game in Its Haunts,Various,english
10452,Peter's Mother,Mrs. Henry De La Pasture,english
10455,A Golden Book of Venice,Mrs. Lawrence Turnbull,english
10458,Three short works,Gustave Flaubert,english
10456,Atlantic Monthly, Volume 2, Issue 11, September, 1858,Various,english
10454,Tales for Young and Old,Various,english
10463,The Little House in the Fairy Wood,Ethel Cook Eliot,english
10459,The Celtic Twilight,W. B. Yeats,english
10465,The Outdoor Girls of Deepdale,Laura Lee Hope,english
10466,Little Saint Elizabeth and Other Stories,Frances Hodgson Burnett,english
10449,Burnham Breaker,Homer Greene,english
10468,Aunt Jane's Nieces in Society,Edith Van Dyne,english
10460,When Day is Done,Edgar A. Guest,english
10462,Clarissa, Volume 4 (of 9),Samuel Richardson,english
10464,A Child's Anti-Slavery Book,Various,english
10472,Arthurian Chronicles: Roman de Brut,Wace,english
10467,A Select Collection of Old English Plays, Vol. VIII (4th edition),Various,english
10476,The Vanishing Man,R. Austin Freeman,english
10471,The World's Greatest Books, Vol. I,Various,english
10477,Beacon Lights of History, Volume I,John Lord,english
10478,Beacon Lights of History, Volume II,John Lord,english
10473,The Heart of the Range,William Patterson White,english
10461,Journals of Australian Explorations,A C and F T Gregory,english
10474,The Lost Naval Papers,Bennet Copplestone,english
10479,Our Churches and Chapels,Atticus,english
10482,The Young Mother,William A. Alcott,english
10494,Henry the Second,Mrs. J. R. Green,english
10489,An English Garner,Edited by Professor Arber and Thomas Seccombe,english
10484,Beacon Lights of History, Volume III,John Lord,english
10483,Short Stories Old and New,Selected and Edited by C. Alphonso Smith,english
10490,The Golden Legend,Henry Wadsworth Longfellow,english
10496,Red Masquerade,Louis Joseph Vance,english
10491,Practice Book,Leland Powers,english
10493,The Old Bush Songs,A. B. Paterson,english
10506,Romance de lobos, comedia barbara,Ramon del Valle-Inclan,spanish
10508,The Sorrows of a Show Girl,Kenneth McGaffey,english
10509,The Bars of Iron,Ethel May Dell,english
10511,A Rogue by Compulsion,Victor Bridges,english
1051,Sartor Resartus,Thomas Carlyle,english
1052,Step by Step,The American Tract Society,english
10516,Bits About Home Matters,Helen Hunt Jackson,english
10518,Poems,John Hay,english
10520,The Compleat Cook,Anonymous, given as "W. M.",english
1059,The World Set Free,Herbert George Wells,english
10519,Mercy Philbrick's Choice,Helen Hunt Jackson,english
10521,The Primadonna,F. Marion Crawford,english
10507,Mary, Erzaehlung,Bjornstjerne Bjornson,german
10522,Beacon Lights of History, Volume IV,John Lord,english
1056,Martin Eden,Jack London,english
10532,Beacon Lights of History, Volume VI,John Lord,english
10539,In the Riding-School; Chats With Esmeralda,Theo. Stephenson Browne,english
10541,Children's Classics In Dramatic Form,Augusta Stevenson,english
10542,The Boats of the "Glen Carrig",William Hope Hodgson,english
10546,So Runs the World,Henryk Sienkiewicz,,english
10548,The Westcotes,Arthur Thomas Quiller-Couch,english
10533,Beacon Lights of History, Volume VII,John Lord,english
10531,Beacon Lights of History, Volume V,John Lord,english
10551,Affair in Araby,Talbot Mundy,english
10552,Roy Blakeley,Percy Keese Fitzhugh,english
10550,A Select Collection of Old English Plays, Vol. IX,Various,english
10549,A Romance of the Republic,Lydia Maria Francis Child,english
10554,Right Ho, Jeeves,P. G. Wodehouse,english
10543,Norwegian Life,Ethlyn T. Clough,english
10537,The Governors,E. Phillips Oppenheim,english
10545,The Sea Lions,James Fenimore Cooper,english
10560,The Last of the Foresters,John Esten Cooke,english
10538,Hyacinth,George A. Birmingham,english
10555,The Life of Marie Antoinette, Queen of France,Charles Duke Yonge,english
10534,The Double Traitor,E. Phillips Oppenheim,english
10540,Mother Carey's Chickens,Kate Douglas Wiggin,english
10556,The Old Man in the Corner,Baroness Orczy,english
10573,Ship's Company, The Entire Collection,W.W. Jacobs,english
10577,International Short Stories: French,Various,english
10576,The Aeroplane Boys Flight,John Luther Langworthy,english
